Category;Year;Filename;Offence/type;Cases;Offences;Attempted;Multiple;Solved;Total accused;<10;10-14;15-17;18-19;20-24;25-29;30-34;35-39;40-49;50-59;60-69;70-99;No information;Male;Female;Legal persons;No information_1;Total;Residents;Asylum I;Asylum II;Miscellaneous;No information_2
Public order;2011;2011_swisscrime.csv;311.00.261.00 Attack on the freedom of faith and the freedom to worship;10;10;0;0;3;8;0;0;3;4;1;0;0;0;0;0;0;0;0;8;0;0;0;1;X;X;X;X;X
Public order;2011;2011_swisscrime.csv;311.00.261.A0 Racial discrimination;169;182;0;4;128;128;0;3;16;10;14;9;14;12;20;12;10;7;1;103;25;0;0;32;27;0;0;4;1
Public order;2011;2011_swisscrime.csv;311.00.262.00 Disturbing the peace of the dead;26;26;0;0;7;6;0;0;0;1;0;1;1;0;1;1;0;1;0;5;1;0;0;2;X;X;X;X;X
Public order;2011;2011_swisscrime.csv;311.00.263.00 Committing an offence while in a state of voluntarily induced mental incapacity;21;27;0;0;27;25;0;0;1;1;9;4;4;1;4;1;0;0;0;22;3;0;0;10;5;3;0;2;0
State and national security;2011;2011_swisscrime.csv;311.00.268.00 Moving boundary markers;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
State and national security;2011;2011_swisscrime.csv;311.00.270.00 Attacks on Swiss national emblems;3;3;0;0;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
State and national security;2011;2011_swisscrime.csv;311.00.273.00 Industrial espionage;2;2;0;1;2;8;0;0;0;0;0;0;0;2;0;2;0;0;4;6;2;0;0;6;2;0;0;4;0
State and national security;2011;2011_swisscrime.csv;311.00.275.B0 Unlawful association;1;1;0;0;1;4;0;0;0;0;2;0;2;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0
Offences against the will of the people;2011;2011_swisscrime.csv;311.00.282.00 Electoral fraud -;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Offences against the will of the people;2011;2011_swisscrime.csv;311.00.282.A0 Vote catching;2;2;0;0;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Offences against official powers;2011;2011_swisscrime.csv;311.00.285.00 Violence and threats against public authorities and public officials;2040;2519;2;56;2424;1916;0;11;139;155;423;301;217;183;289;130;48;18;1;1699;216;1;0;838;424;188;42;166;18
Offences against official powers;2011;2011_swisscrime.csv;311.00.286.00 Prevention of an official act;1671;1709;9;11;1682;1745;0;23;143;177;464;347;192;146;157;72;19;5;0;1609;136;0;0;985;346;245;43;350;1
Offences against official powers;2011;2011_swisscrime.csv;311.00.287.00 Usurpation of office;48;49;0;1;33;38;0;0;0;5;6;3;5;5;4;3;7;0;0;37;1;0;0;11;6;0;0;5;0
Offences against official powers;2011;2011_swisscrime.csv;311.00.289.00 Removal of seized property;19;20;0;0;19;17;0;0;0;1;0;1;1;1;3;4;4;2;0;15;2;0;0;4;4;0;0;0;0
Offences against official powers;2011;2011_swisscrime.csv;311.00.290.00 Breaking the seals;17;17;0;0;9;8;0;0;0;0;2;0;1;2;1;2;0;0;0;5;3;0;0;2;X;X;X;X;X
Offences against official powers;2011;2011_swisscrime.csv;311.00.291.00 Breach of an expulsion order;48;48;1;0;47;45;0;0;0;0;4;7;9;12;7;6;0;0;0;44;1;0;0;45;0;4;1;40;0
Offences against official powers;2011;2011_swisscrime.csv;311.00.292.00 Contempt of official orders;3471;3494;0;201;3437;2594;0;6;63;102;384;401;340;287;527;298;142;38;0;2037;551;6;0;1086;843;96;19;122;6
Offences against official powers;2011;2011_swisscrime.csv;311.00.293.00 Publication of secret official proceedings;2;2;0;0;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Offences detrimental to Foreign Relations;2011;2011_swisscrime.csv;311.00.298.00 Attacks on the national emblems of a foreign state;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Offences detrimental to Foreign Relations;2011;2011_swisscrime.csv;311.00.299.00 Violation of foreign territorial sovereignty;3;3;0;0;2;2;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Offences against the administration of justice;2011;2011_swisscrime.csv;311.00.303.00 False accusation;509;525;3;8;506;539;0;20;36;38;77;75;55;49;95;63;20;11;0;327;212;0;0;221;190;9;0;22;0
Offences against the administration of justice;2011;2011_swisscrime.csv;311.00.304.00 Misleading judicial authorities;528;540;8;5;525;583;0;17;48;51;124;79;65;45;78;53;18;5;0;421;162;0;0;247;195;8;3;39;2
Offences against the administration of justice;2011;2011_swisscrime.csv;311.00.305.00 Assisting offenders;174;179;7;3;176;218;0;9;16;17;58;30;17;14;30;16;4;2;0;152;61;5;0;91;69;6;1;15;0
Offences against the administration of justice;2011;2011_swisscrime.csv;311.00.305.A0 Money laundering;270;290;10;47;259;330;0;0;1;4;26;67;51;40;60;45;20;6;7;264;63;3;0;231;87;18;7;112;7
Offences against the administration of justice;2011;2011_swisscrime.csv;311.00.305.B0 Insufficient diligence in financial transactions and right to report;4;4;0;0;3;3;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Offences against the administration of justice;2011;2011_swisscrime.csv;311.00.306.00 Perjury by a party to civil proceedings;4;4;0;0;4;4;0;0;0;0;1;0;0;1;2;0;0;0;0;3;1;0;0;2;X;X;X;X;X
Offences against the administration of justice;2011;2011_swisscrime.csv;311.00.307.00 Perjury by an expert witness. False translation;31;31;0;0;30;32;0;0;2;2;1;6;2;6;5;3;2;2;1;20;12;0;0;16;14;0;0;1;1
Offences against the administration of justice;2011;2011_swisscrime.csv;311.00.310.00 Assisting prisoners to escape;2;2;0;0;2;4;0;0;0;2;1;1;0;0;0;0;0;0;0;4;0;0;0;1;X;X;X;X;X
Offences against Official or Professional Duty;2011;2011_swisscrime.csv;311.00.312.00 Abuse of public office;70;76;0;1;47;60;0;0;0;0;1;2;4;7;7;12;3;0;23;42;5;1;12;10;1;0;0;2;7
Offences against Official or Professional Duty;2011;2011_swisscrime.csv;311.00.313.00 Overcharging of taxes;2;2;0;0;2;2;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Offences against Official or Professional Duty;2011;2011_swisscrime.csv;311.00.314.00 Misconduct in public office;11;12;0;2;12;18;0;0;0;0;0;0;1;2;5;7;3;0;0;18;0;0;0;10;1;0;0;9;0
Offences against Official or Professional Duty;2011;2011_swisscrime.csv;311.00.317.00 Forgery of a document by a public official;8;13;0;2;10;10;0;0;0;0;0;0;0;1;3;4;1;0;1;10;0;0;0;1;X;X;X;X;X
Offences against Official or Professional Duty;2011;2011_swisscrime.csv;311.00.318.00 Issuing a false medical certificate;5;5;0;0;5;5;0;0;0;0;0;0;1;1;0;1;2;0;0;4;1;0;0;1;X;X;X;X;X
Offences against Official or Professional Duty;2011;2011_swisscrime.csv;311.00.319.00 Assistance by a public official in the escape of prisoners;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Offences against Official or Professional Duty;2011;2011_swisscrime.csv;311.00.320.00 Breach of official secrecy;32;32;0;0;23;40;0;0;0;0;1;1;4;5;15;9;5;0;0;27;13;0;0;12;4;0;0;7;1
Offences against Official or Professional Duty;2011;2011_swisscrime.csv;311.00.321.00 Breach of professional confidentiality;12;12;0;0;11;13;0;0;0;0;0;0;0;2;5;4;1;1;0;12;1;0;0;2;X;X;X;X;X
Offences against Official or Professional Duty;2011;2011_swisscrime.csv;311.00.321.B0 Breach of professional confidentiality in research involving human beings;95;96;0;4;42;17;0;0;0;1;3;0;2;5;2;3;0;0;0;11;5;1;0;8;8;0;0;0;0
Offences against Official or Professional Duty;2011;2011_swisscrime.csv;311.00.322.A0 Failure to prevent an illegal publication;1;1;0;0;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Bribery;2011;2011_swisscrime.csv;311.00.322.B0 Bribery;11;11;2;1;11;11;0;0;1;0;1;0;2;2;1;4;0;0;0;11;0;0;0;7;5;0;0;2;0
Bribery;2011;2011_swisscrime.csv;311.00.322.B0 Accepting bribes;4;4;0;2;4;6;0;0;0;0;0;0;0;2;0;3;1;0;0;6;0;0;0;1;X;X;X;X;X
Bribery;2011;2011_swisscrime.csv;311.00.322.D0 Granting an advantage;1;1;0;0;1;2;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Bribery;2011;2011_swisscrime.csv;311.00.322.D0 Acceptance of an advantage;1;1;0;0;1;2;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Bribery;2011;2011_swisscrime.csv;311.00.322.F0 Bribery of foreign public officials;3;3;0;0;2;3;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Offences against Contraventions of Federal Law;2011;2011_swisscrime.csv;311.00.323.00 Failure of a debtor to comply with DEBA regulations;6420;6420;2;2298;6299;5189;0;0;10;87;790;992;851;552;1101;563;203;37;0;3776;1410;3;0;2193;2075;32;2;68;16
Offences against Contraventions of Federal Law;2011;2011_swisscrime.csv;311.00.324.00 Failure of third parties to comply with DEBA regulations;6;6;0;0;6;6;0;0;0;0;2;1;0;1;0;1;0;0;0;3;2;1;0;2;X;X;X;X;X
Offences against Contraventions of Federal Law;2011;2011_swisscrime.csv;311.00.325.00 Failure to comply with accounting regulations;37;37;0;1;36;46;0;0;0;0;0;3;2;5;17;15;4;0;0;40;6;0;0;22;21;0;0;1;0
Offences against Contraventions of Federal Law;2011;2011_swisscrime.csv;311.00.325 Failure to comply with regulations protecting tenants;2;2;0;0;2;3;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Offences against Contraventions of Federal Law;2011;2011_swisscrime.csv;311.00.326.B0 Contravention of the law of business;3;3;0;0;3;3;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Offences against Contraventions of Federal Law;2011;2011_swisscrime.csv;311.00.330.00 Trading in material requisitioned by the armed forces;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Offences against Contraventions of Federal Law;2011;2011_swisscrime.csv;311.00.331.00 Unauthorised wearing of military uniform;4;4;0;0;4;4;0;0;0;0;3;0;0;1;0;0;0;0;0;4;0;0;0;1;X;X;X;X;X
Offences against Contraventions of Federal Law;2011;2011_swisscrime.csv;311.00.332.00 Failure to report a find;372;382;0;4;155;162;0;7;31;12;35;24;17;10;14;10;2;0;0;136;26;0;0;89;52;19;6;11;1
Life and Limb;2012;2012_swisscrime.csv;311.00.111.00 Homicide;198;229;184;0;214;263;0;9;20;22;42;47;40;20;33;21;4;5;0;238;25;0;0;146;81;25;1;35;4
Life and Limb;2012;2012_swisscrime.csv;311.00.115.00 Inciting and assisting suicide;1;1;0;0;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Life and Limb;2012;2012_swisscrime.csv;311.00.116.00 Infanticide;1;1;0;0;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Life and Limb;2012;2012_swisscrime.csv;311.00.117.00 Homicide through negligence;52;53;0;0;41;46;0;0;2;0;4;9;3;5;9;8;4;2;0;40;6;0;0;13;4;1;0;8;0
Life and Limb;2012;2012_swisscrime.csv;311.00.118.00 Illegal abortion;8;8;1;0;4;4;0;0;0;0;0;1;1;2;0;0;0;0;0;4;0;0;0;3;X;X;X;X;X
Life and Limb;2012;2012_swisscrime.csv;311.00.122.00 Grievous bodily harm;504;597;105;12;479;552;0;11;50;56;137;95;69;37;61;20;8;7;0;503;48;1;0;314;203;46;7;54;4
Life and Limb;2012;2012_swisscrime.csv;311.00.123.00 Simply bodily harm;7593;8728;101;318;7316;7587;5;210;608;575;1413;1065;893;736;1225;577;199;74;7;6481;1106;0;0;3988;2910;400;50;503;125
Life and Limb;2012;2012_swisscrime.csv;311.00.125.00 Bodily harm through negligence;592;606;3;4;510;553;0;16;14;13;57;46;55;54;119;88;53;34;3;399;153;1;0;181;131;4;0;44;2
Life and Limb;2012;2012_swisscrime.csv;311.00.126.00 Assault;10427;12062;0;1588;10565;10073;15;387;510;426;1255;1311;1272;1242;2119;995;374;155;12;7839;2234;0;0;5020;4021;353;35;398;213
Life and Limb;2012;2012_swisscrime.csv;311.00.127.00 Endangering the life or health of another / Abandonment;6;7;0;0;6;7;0;0;0;0;2;0;1;1;0;3;0;0;0;6;1;0;0;4;1;3;0;0;0
Life and Limb;2012;2012_swisscrime.csv;311.00.128.00 Failure to offer aid in an emergency;90;99;0;0;81;108;0;7;16;15;20;12;8;5;9;7;9;0;0;96;12;0;0;43;33;2;0;8;0
Life and Limb;2012;2012_swisscrime.csv;311.00.128.A0 False alarm;89;89;1;5;66;62;0;3;5;7;13;7;3;7;10;6;1;0;0;45;17;0;0;25;10;8;0;7;0
Life and Limb;2012;2012_swisscrime.csv;311.00.129.00 Endangering life ;608;680;11;15;504;484;0;9;28;27;81;78;47;39;82;50;31;12;0;434;50;0;0;220;159;9;3;42;7
Life and Limb;2012;2012_swisscrime.csv;311.00.133.00 Participation brawl;227;1076;0;1;1021;958;0;13;96;149;334;170;89;41;43;20;3;0;0;884;74;0;0;568;393;94;23;58;0
Life and Limb;2012;2012_swisscrime.csv;311.00.134.00 Participation attack;988;1976;12;1;1275;1137;0;62;253;188;319;146;72;37;37;20;2;1;0;1072;65;0;0;567;393;85;3;82;4
Life and Limb;2012;2012_swisscrime.csv;311.00.135.00 Representations of acts of violence;35;35;0;1;33;38;0;15;7;1;5;2;0;0;2;4;1;0;0;35;2;1;0;15;14;1;0;0;0
Life and Limb;2012;2012_swisscrime.csv;311.00.136.00 Administering substances capable of causing injury to children;93;104;1;13;94;98;0;5;28;19;13;5;10;6;8;3;1;0;0;87;11;0;0;30;19;6;1;3;1
Property;2012;2012_swisscrime.csv;311.00.137.00 Unlawful appropriation, including minor offences;2778;2801;5;7;568;607;0;13;63;53;89;89;56;49;97;63;23;12;0;461;146;0;0;318;174;56;10;77;1
Property;2012;2012_swisscrime.csv;311.00.138.00 Misappropriation;2108;2732;7;103;2471;1745;0;2;14;38;155;212;202;216;435;300;109;32;10;1315;410;20;0;818;603;13;1;161;40
Property;2012;2012_swisscrime.csv;311.00.139.00 Theft ;68488;68863;421;309;8248;7911;2;361;850;617;1434;1260;968;725;1004;454;159;62;13;5965;1943;2;1;5009;1890;1065;168;1714;172
Property;2012;2012_swisscrime.csv;311.00.139.10 Burglary;60530;61128;18333;110;7279;4375;5;161;572;446;961;766;578;375;347;113;39;4;7;4029;344;1;1;3107;639;477;93;1667;231
Property;2012;2012_swisscrime.csv;311.00.139.71 Theft by secretly entering an unsecured place;12498;12586;512;74;1660;1599;0;74;207;168;343;230;177;139;172;62;20;3;4;1404;195;0;0;998;347;135;32;433;51
Property;2012;2012_swisscrime.csv;311.00.139.72 Snatch theft;2461;2473;93;1;280;294;0;6;50;35;60;65;37;21;15;2;3;0;0;278;16;0;0;219;60;60;13;74;12
Property;2012;2012_swisscrime.csv;311.00.139.74 Shoplifting;18096;18383;213;168;15416;11300;8;708;1179;731;1856;1904;1483;978;1292;689;289;174;2;7570;3722;7;1;7737;1914;2749;303;2408;363
Property;2012;2012_swisscrime.csv;311.00.139.75 Pickpocketing;34066;34131;211;23;1234;1267;0;24;64;100;295;274;188;121;146;42;5;7;1;856;411;0;0;1174;69;283;44;707;71
Property;2012;2012_swisscrime.csv;311.00.139.76 Theft by false pretences;6488;6514;140;11;673;706;0;11;44;51;163;146;113;62;75;29;7;5;0;545;161;0;0;619;54;107;23;393;42
Property;2012;2012_swisscrime.csv;311.00.139.78 Theft from a co-tenant;98;99;1;5;85;85;0;2;16;13;15;15;2;6;8;6;0;2;0;54;31;0;0;39;24;4;1;10;0
Property;2012;2012_swisscrime.csv;311.00.139.80 Vehicle larceny;20076;20202;2928;21;1882;929;0;12;73;88;217;243;150;77;56;8;3;2;0;910;19;0;0;790;92;371;79;214;34
Property;2012;2012_swisscrime.csv;311.00.139.81 Vehicle theft;42183;47514;754;28;1464;1527;0;138;375;178;265;186;127;77;128;38;10;3;2;1459;68;0;0;791;372;105;18;279;17
Property;2012;2012_swisscrime.csv;311.00.139.82 Theft from/ out of a vehicle;12979;13070;624;47;1299;1027;0;23;126;108;243;204;137;74;85;19;4;2;1;982;44;1;0;733;128;272;83;229;21
Property;2012;2012_swisscrime.csv;311.00 140.00 Violent robbery;3429;3603;394;5;1245;1594;0;104;421;219;346;221;110;68;78;20;5;1;1;1498;94;0;2;988;477;195;33;249;34
Property;2012;2012_swisscrime.csv;311.00.141.00 Removal of property;565;567;2;7;456;472;0;6;15;7;42;60;54;62;108;68;29;19;0;352;118;2;0;205;150;6;2;46;1
Property;2012;2012_swisscrime.csv;311.00.141.A0 Unlawful use of financial assets;15;15;0;0;14;16;0;0;0;0;0;1;1;3;5;5;1;0;0;10;6;0;0;9;8;0;0;1;0
Property;2012;2012_swisscrime.csv;311.00.142.00 Unlawful abstraction of energy;43;43;0;1;38;44;0;1;3;2;0;10;4;3;11;8;2;0;0;39;5;0;0;14;12;0;0;1;1
Property;2012;2012_swisscrime.csv;311.00.143.00 Unauthorised obtaining of data;1849;1852;43;56;147;174;0;3;4;5;28;24;22;28;29;15;3;0;5;141;24;8;1;119;23;0;0;93;3
Property;2012;2012_swisscrime.csv;311.00.143.A0 Unauthorised access to a data processing system (para. 1);263;264;7;26;63;71;0;6;3;2;11;9;11;6;11;5;4;0;1;57;12;2;0;24;14;0;0;8;2
Property;2012;2012_swisscrime.csv;311.00.144.00 Criminal damage (para. 1);49865;50279;3;324;8351;8091;32;742;1282;761;1378;956;681;508;918;488;240;90;9;7069;1016;6;0;3156;2037;389;57;556;117
Property;2012;2012_swisscrime.csv;311.00.144.0Z Criminal damage plus theft;76570;76860;10;128;9383;5643;6;226;746;583;1219;1017;755;450;431;139;56;5;8;5221;419;2;1;3918;828;791;166;1869;264
Property;2012;2012_swisscrime.csv;311.00.144.A0 Damage to data (1/1);189;191;0;4;37;48;0;5;4;1;4;6;6;5;12;3;0;0;0;39;7;2;0;20;11;0;0;9;0
Property;2012;2012_swisscrime.csv;311.00.145.00 Misappropriation and removal of property subject to a pledge or lien;2;2;0;0;2;3;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Property;2012;2012_swisscrime.csv;311.00.146.00 Fraud;7565;8066;1075;376;5417;3797;1;21;90;164;453;491;434;421;797;473;194;49;117;2682;1006;92;17;2130;1224;50;6;759;91
Property;2012;2012_swisscrime.csv;311.00.147.00 Computer fraud;6053;6323;992;1478;1361;1104;0;16;65;85;207;216;120;124;174;63;19;2;10;803;297;3;1;701;274;41;5;329;52
Property;2012;2012_swisscrime.csv;311.00.148.00 Misuse of a cheque card or credit card;59;63;7;8;29;29;0;1;2;1;2;6;5;4;2;3;0;0;3;17;9;0;3;19;6;0;0;13;0
Property;2012;2012_swisscrime.csv;311.00.149.00 Making off from a hotel, restaurant or bar without payment;471;474;1;7;408;377;0;0;4;12;36;50;56;48;91;49;24;6;1;307;70;0;0;244;57;9;4;172;2
Property;2012;2012_swisscrime.csv;311.00.150.00 Obtaining a service without payment;597;611;3;30;485;512;0;4;88;82;117;83;55;22;39;16;3;1;2;383;128;0;1;280;139;68;8;48;17
Property;2012;2012_swisscrime.csv;311.00.151.00 Maliciously causing financial loss to another;133;137;11;4;77;75;0;4;9;7;20;7;10;8;3;2;2;1;0;52;21;2;0;33;22;3;1;3;4
Property;2012;2012_swisscrime.csv;311.00.152.00 False statements about commercial business;8;11;0;0;10;9;0;0;0;0;0;0;1;0;3;3;2;0;0;7;2;0;0;4;3;0;0;1;0
Property;2012;2012_swisscrime.csv;311.00.153.00 False statements to the commercial register authorities;15;15;0;0;12;18;0;0;0;0;0;0;1;1;7;7;2;0;0;14;4;0;0;8;6;0;0;2;0
Property;2012;2012_swisscrime.csv;311.00.155.00 Counterfeiting of goods;37;38;1;2;23;36;0;0;0;3;3;8;5;3;10;2;1;0;0;31;4;1;0;29;5;0;0;24;0
Property;2012;2012_swisscrime.csv;311.00.156.00 Extortion;369;387;74;25;252;287;0;24;45;18;39;36;33;21;36;20;8;2;4;252;34;1;0;176;109;23;1;37;6
Property;2012;2012_swisscrime.csv;311.00.157.00 Profiteering;77;85;0;1;74;94;0;0;0;1;7;6;8;12;27;17;9;5;1;69;24;1;0;40;28;0;0;12;0
Property;2012;2012_swisscrime.csv;311.00.158.00 Criminal mismanagement;227;821;0;24;805;272;0;0;0;0;5;11;16;36;90;64;33;8;3;224;42;6;0;79;56;0;0;21;2
Property;2012;2012_swisscrime.csv;311.00.159.00 Misuse of salary deductions;140;152;0;0;140;146;0;0;0;0;3;5;7;17;44;39;15;4;0;109;25;12;0;58;54;0;0;3;1
Property;2012;2012_swisscrime.csv;311.00.160.00 Handling stolen goods;1673;1724;12;54;1691;1858;0;76;172;176;388;373;262;162;187;44;11;5;1;1675;182;1;0;1386;417;386;70;495;18
Property;2012;2012_swisscrime.csv;311.00.161.00 Insider trading;2;2;0;0;2;6;0;0;0;0;0;0;0;0;2;2;0;0;1;4;1;1;0;5;3;0;0;2;0
Property;2012;2012_swisscrime.csv;311.00.162.00 Breach of manufacturing or trade secrecy;26;27;0;2;23;40;0;0;0;0;2;3;5;5;12;7;1;0;0;33;2;5;0;15;10;0;0;5;0
Property;2012;2012_swisscrime.csv;311.00.163.00 Fraudulent bankruptcy and fraud against seizure;128;129;0;7;127;151;0;0;0;1;3;16;11;27;51;24;9;5;0;115;32;4;0;63;63;0;0;0;0
Property;2012;2012_swisscrime.csv;311.00.164.00 Reduction of assets to the prejudice of creditors;48;48;3;2;44;52;0;0;0;0;0;1;8;7;21;11;2;0;0;39;11;2;0;22;22;0;0;0;0
Property;2012;2012_swisscrime.csv;311.00.165.00 Mismanagement;121;126;0;11;124;138;0;0;0;0;5;7;14;17;47;26;12;3;0;111;20;7;0;55;45;1;0;9;0
Property;2012;2012_swisscrime.csv;311.00.166.00 Failure to keep proper accounts;136;141;0;5;138;139;0;0;0;1;7;11;15;17;53;21;8;2;0;107;28;4;0;56;52;0;0;4;0
Property;2012;2012_swisscrime.csv;311.00.167.00 Undue preference to creditors;11;12;0;1;12;18;0;0;0;0;2;1;1;1;6;3;0;3;0;14;3;1;0;10;10;0;0;0;0
Property;2012;2012_swisscrime.csv;311.00.169.00 Disposal of seized assets;464;474;0;13;472;408;0;0;0;0;10;27;37;52;119;104;53;5;0;346;61;1;0;172;165;0;0;6;1
Property;2012;2012_swisscrime.csv;311.00.170.00 Obtaining a judicial composition agreement by fraud;1;1;0;0;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Honour and Breach of Secrecy or Privacy;2012;2012_swisscrime.csv;311.00.173.00 Defamation;1162;1229;0;70;976;1058;0;20;33;23;55;72;94;124;293;194;104;43;3;627;431;0;0;337;257;9;0;48;23
Honour and Breach of Secrecy or Privacy;2012;2012_swisscrime.csv;311.00.174.00 Wilful defamation;1057;1113;0;55;934;972;0;15;20;16;43;77;107;111;268;172;109;29;5;586;386;0;0;308;248;6;0;44;10
Honour and Breach of Secrecy or Privacy;2012;2012_swisscrime.csv;311.00.175.00 Defamation of a deceased person or of a missing person presumed dead;3;3;0;0;2;3;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Honour and Breach of Secrecy or Privacy;2012;2012_swisscrime.csv;311.00 177.00 Insult;7073;7873;2;729;7272;7017;1;217;365;321;844;784;825;743;1572;780;398;156;11;5342;1675;0;0;3120;2431;173;36;296;184
Honour and Breach of Secrecy or Privacy;2012;2012_swisscrime.csv;311.00.179.00 Breach of the privacy of a sealed document;166;167;0;6;76;76;0;2;0;2;5;3;11;4;25;19;5;0;0;55;21;0;0;26;19;1;0;4;2
Honour and Breach of Secrecy or Privacy;2012;2012_swisscrime.csv;311.00.179.A0 Listening in on and recording the conversations of others;15;15;0;0;12;11;0;0;0;0;1;0;2;1;2;2;3;0;0;10;1;0;0;5;4;1;0;0;0
Honour and Breach of Secrecy or Privacy;2012;2012_swisscrime.csv;311.00.179.B0 Unauthorised recording of conversations;41;47;0;0;43;42;0;2;1;3;7;3;2;2;13;5;2;1;1;34;8;0;0;15;10;2;0;2;1
Honour and Breach of Secrecy or Privacy;2012;2012_swisscrime.csv;311.00.179.C0 Breach of secrecy or privacy through the use of an image-carrying device;206;228;1;14;193;189;0;21;9;10;14;14;14;18;51;19;14;4;1;160;29;0;0;57;36;1;0;18;2
Honour and Breach of Secrecy or Privacy;2012;2012_swisscrime.csv;311.00.179.E0 Marketing and promotion of devices for unlawful listening or sound or image recording;121;124;0;4;24;34;0;0;0;2;7;0;8;8;8;1;0;0;0;30;4;0;0;32;3;0;0;29;0
Honour and Breach of Secrecy or Privacy;2012;2012_swisscrime.csv;311.00.179.F0 Misuse of a telecommunications installation  septies;2339;2389;3;399;1763;1673;0;46;51;69;177;235;211;216;392;180;75;15;4;1275;395;2;1;738;573;33;3;100;29
Honour and Breach of Secrecy or Privacy;2012;2012_swisscrime.csv;311.00.179.H0 Obtaining personal data without authorisation  novies;34;35;0;0;17;21;0;3;1;0;2;2;5;0;4;2;1;0;1;17;4;0;0;10;5;0;0;3;2
